0.17321D-02,0.31790D+01
0.34641D-02,0.31760D+01
0.51962D-02,0.31730D+01
0.69282D-02,0.31700D+01
0.86603D-02,0.31670D+01
0.10392D-01,0.31640D+01
0.12124D-01,0.31610D+01
0.13856D-01,0.31580D+01
0.15588D-01,0.31550D+01
0.17321D-01,0.31520D+01
0.19053D-01,0.31490D+01
0.20785D-01,0.31460D+01
0.22517D-01,0.31430D+01
0.24249D-01,0.31400D+01
0.25981D-01,0.31370D+01
0.27713D-01,0.31340D+01
0.29445D-01,0.31310D+01
0.31177D-01,0.31280D+01
0.32909D-01,0.31250D+01
0.34641D-01,0.31220D+01
0.36373D-01,0.31190D+01
0.38105D-01,0.31160D+01
0.39837D-01,0.31130D+01
0.41569D-01,0.31100D+01
0.43301D-01,0.31070D+01
0.45033D-01,0.31040D+01
0.46765D-01,0.31010D+01
0.48497D-01,0.30980D+01
0.50229D-01,0.30950D+01
0.51962D-01,0.30920D+01
0.53694D-01,0.30890D+01
0.55426D-01,0.30860D+01
0.57158D-01,0.30830D+01
0.58890D-01,0.30800D+01
0.60622D-01,0.30770D+01
0.62354D-01,0.30740D+01
0.64086D-01,0.30710D+01
0.65818D-01,0.30680D+01
0.67550D-01,0.30650D+01
0.69282D-01,0.30620D+01
0.71014D-01,0.30590D+01
0.72746D-01,0.30560D+01
0.74478D-01,0.30530D+01
0.76210D-01,0.30500D+01
0.77942D-01,0.30470D+01
0.79674D-01,0.30440D+01
0.81406D-01,0.30410D+01
0.83138D-01,0.30380D+01
0.84870D-01,0.30350D+01
0.86603D-01,0.30320D+01
0.88335D-01,0.30290D+01
0.90067D-01,0.30260D+01
0.91799D-01,0.30230D+01
0.93531D-01,0.30200D+01
0.95263D-01,0.30170D+01
0.96995D-01,0.30140D+01
0.98727D-01,0.30110D+01
0.10046D+00,0.30080D+01
0.10219D+00,0.30050D+01
0.10392D+00,0.30020D+01
0.10566D+00,0.29990D+01
0.10739D+00,0.29960D+01
0.10912D+00,0.29930D+01
0.11085D+00,0.29900D+01
0.11258D+00,0.29870D+01
0.11432D+00,0.29840D+01
0.11605D+00,0.29810D+01
0.11778D+00,0.29780D+01
0.11951D+00,0.29750D+01
0.12124D+00,0.29720D+01
0.12298D+00,0.29690D+01
0.12471D+00,0.29660D+01
0.12644D+00,0.29630D+01
0.12817D+00,0.29600D+01
0.12990D+00,0.29570D+01
0.13164D+00,0.29540D+01
0.13337D+00,0.29510D+01
0.13510D+00,0.29480D+01
0.13683D+00,0.29450D+01
0.13856D+00,0.29420D+01
0.14030D+00,0.29390D+01
0.14203D+00,0.29360D+01
0.14376D+00,0.29330D+01
0.14549D+00,0.29300D+01
0.14722D+00,0.29270D+01
0.14896D+00,0.29240D+01
0.15069D+00,0.29210D+01
0.15242D+00,0.29180D+01
0.15415D+00,0.29150D+01
0.15588D+00,0.29120D+01
0.15762D+00,0.29090D+01
0.15935D+00,0.29060D+01
0.16108D+00,0.29030D+01
0.16281D+00,0.29000D+01
0.16454D+00,0.28970D+01
0.16628D+00,0.28940D+01
0.16801D+00,0.28910D+01
0.16974D+00,0.28880D+01
0.17147D+00,0.28850D+01
0.17321D+00,0.28820D+01
0.17494D+00,0.28790D+01
0.17667D+00,0.28760D+01
0.17840D+00,0.28730D+01
0.18013D+00,0.28700D+01
0.18187D+00,0.28670D+01
0.18360D+00,0.28640D+01
0.18533D+00,0.28610D+01
0.18706D+00,0.28580D+01
0.18879D+00,0.28550D+01
0.19053D+00,0.28520D+01
0.19226D+00,0.28490D+01
0.19399D+00,0.28460D+01
0.19572D+00,0.28430D+01
0.19745D+00,0.28400D+01
0.19919D+00,0.28370D+01
0.20092D+00,0.28340D+01
0.20265D+00,0.28310D+01
0.20438D+00,0.28280D+01
0.20611D+00,0.28250D+01
0.20785D+00,0.28220D+01
0.20958D+00,0.28190D+01
0.21131D+00,0.28160D+01
0.21304D+00,0.28130D+01
0.21477D+00,0.28100D+01
0.21651D+00,0.28070D+01
0.21824D+00,0.28081D+01
0.21997D+00,0.28062D+01
0.22170D+00,0.28044D+01
0.22343D+00,0.28025D+01
0.22517D+00,0.28006D+01
0.22690D+00,0.27987D+01
0.22863D+00,0.27968D+01
0.23036D+00,0.27950D+01
