0.25000D-02,0.37499D-01,0.19833D-07,0.16482D-06,0.38280D-07,0.16085D-06,0.39828D-08,0.30181D-07,0.11467D-05,0.90699D-08,0.46330D-07,0.65807D-07,0.57695D-07,0.10925D-07,0.63486D-07,0.25384D-06,0.20606D-07,0.16387D-06,0.14761D-06,0.16626D-06,0.17065D-07,0.13592D-06,0.20511D-06
0.50000D-02,0.74991D-01,0.17676D-06,0.14621D-05,0.36028D-06,0.14276D-05,0.37689D-07,0.28486D-06,0.11002D-04,0.89615D-07,0.45329D-06,0.64033D-06,0.56476D-06,0.10647D-06,0.61636D-06,0.23515D-05,0.19327D-06,0.15359D-05,0.13906D-05,0.15613D-05,0.16105D-06,0.12813D-05,0.19468D-05
0.75000D-02,0.11246D+00,0.83970D-06,0.69166D-05,0.18008D-05,0.67562D-05,0.18935D-06,0.14278D-05,0.55677D-04,0.46812D-06,0.23448D-05,0.32972D-05,0.29227D-05,0.54901D-06,0.31670D-05,0.11572D-04,0.96213D-06,0.76401D-05,0.69474D-05,0.77809D-05,0.80608D-06,0.64052D-05,0.97910D-05
0.10000D-01,0.14986D+00,0.28283D-05,0.23208D-04,0.63616D-05,0.22680D-04,0.67224D-06,0.50582D-05,0.19788D-03,0.17214D-05,0.85393D-05,0.11963D-04,0.10647D-04,0.19945D-05,0.11466D-04,0.40263D-04,0.33840D-05,0.26848D-04,0.24504D-04,0.27393D-04,0.28485D-05,0.22606D-04,0.34735D-04
0.12500D-01,0.18712D+00,0.75831D-05,0.62013D-04,0.17839D-04,0.60627D-04,0.18940D-05,0.14224D-04,0.55501D-03,0.50066D-05,0.24599D-04,0.34356D-04,0.30678D-04,0.57351D-05,0.32865D-04,0.11125D-03,0.94452D-05,0.74868D-04,0.68542D-04,0.76519D-04,0.79835D-05,0.63276D-04,0.97658D-04
0.15000D-01,0.22413D+00,0.17230D-04,0.14048D-03,0.42287D-04,0.13739D-03,0.45100D-05,0.33816D-04,0.13089D-02,0.12270D-04,0.59719D-04,0.83206D-04,0.74484D-04,0.13906D-04,0.79446D-04,0.25997D-03,0.22283D-04,0.17646D-03,0.16196D-03,0.18065D-03,0.18903D-04,0.14962D-03,0.23179D-03
0.17500D-01,0.26075D+00,0.34501D-04,0.28055D-03,0.88139D-04,0.27448D-03,0.94411D-05,0.70692D-04,0.27006D-02,0.26363D-04,0.12713D-03,0.17680D-03,0.15856D-03,0.29579D-04,0.16851D-03,0.53443D-03,0.46224D-04,0.36566D-03,0.33633D-03,0.37494D-03,0.39338D-04,0.31093D-03,0.48321D-03
0.20000D-01,0.29681D+00,0.62518D-04,0.50722D-03,0.16592D-03,0.49642D-03,0.17846D-04,0.13347D-03,0.50096D-02,0.51024D-04,0.24381D-03,0.33864D-03,0.30407D-03,0.56709D-04,0.32221D-03,0.99282D-03,0.86604D-04,0.68436D-03,0.63056D-03,0.70278D-03,0.73913D-04,0.58337D-03,0.90895D-03
0.22500D-01,0.33214D+00,0.10450D-03,0.84623D-03,0.28757D-03,0.82846D-03,0.31054D-04,0.23204D-03,0.85208D-02,0.90709D-04,0.42958D-03,0.59616D-03,0.53567D-03,0.99925D-04,0.56633D-03,0.16992D-02,0.14942D-03,0.11795D-02,0.10882D-02,0.12129D-02,0.12785D-03,0.10076D-02,0.15731D-02
0.25000D-01,0.36656D+00,0.16347D-03,0.13216D-02,0.46562D-03,0.12942D-02,0.50472D-04,0.37688D-03,0.13488D-01,0.15032D-03,0.70570D-03,0.97893D-03,0.87977D-03,0.16422D-03,0.92855D-03,0.27185D-02,0.24088D-03,0.18992D-02,0.17543D-02,0.19556D-02,0.20658D-03,0.16255D-02,0.25420D-02
