"pressure"	"GlobalNodeId"	"PedigreeNodeId"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
0.066662	0	0	1	0.116	0.116	2.15	0.5
0.066783	0	0	1	0.117	0.117	2.15	0.5
0.066904	0	0	1	0.118	0.118	2.15	0.5
0.067026	0	0	1	0.119	0.119	2.15	0.5
0.067149	0	0	1	0.12	0.12	2.15	0.5
0.067272	0	0	1	0.121	0.121	2.15	0.5
0.067394	0	0	1	0.122	0.122	2.15	0.5
0.067517	0	0	1	0.123	0.123	2.15	0.5
0.06764	0	0	1	0.124	0.124	2.15	0.5
0.067762	0	0	1	0.125	0.125	2.15	0.5
0.067885	0	0	1	0.126	0.126	2.15	0.5
0.068008	0	0	1	0.127	0.127	2.15	0.5
0.06813	0	0	1	0.128	0.128	2.15	0.5
0.068253	0	0	1	0.129	0.129	2.15	0.5
0.068376	0	0	1	0.13	0.13	2.15	0.5
0.068499	0	0	1	0.131	0.131	2.15	0.5
0.068621	0	0	1	0.132	0.132	2.15	0.5
0.068744	0	0	1	0.133	0.133	2.15	0.5
0.068867	0	0	1	0.134	0.134	2.15	0.5
0.068989	0	0	1	0.135	0.135	2.15	0.5
0.069109	0	0	1	0.136	0.136	2.15	0.5
0.069221	0	0	1	0.137	0.137	2.15	0.5
0.069332	0	0	1	0.138	0.138	2.15	0.5
0.069443	0	0	1	0.139	0.139	2.15	0.5
0.069554	0	0	1	0.14	0.14	2.15	0.5
0.069665	0	0	1	0.141	0.141	2.15	0.5
0.069776	0	0	1	0.142	0.142	2.15	0.5
0.069888	0	0	1	0.143	0.143	2.15	0.5
0.069999	0	0	1	0.144	0.144	2.15	0.5
0.07011	0	0	1	0.145	0.145	2.15	0.5
0.070221	0	0	1	0.146	0.146	2.15	0.5
0.070332	0	0	1	0.147	0.147	2.15	0.5
0.070444	0	0	1	0.148	0.148	2.15	0.5
0.070555	0	0	1	0.149	0.149	2.15	0.5
0.070656	0	0	1	0.15	0.15	2.15	0.5
0.070656	0	0	1	0.151	0.151	2.15	0.5
0.070656	0	0	1	0.152	0.152	2.15	0.5
0.070656	0	0	1	0.153	0.153	2.15	0.5
0.070656	0	0	1	0.154	0.154	2.15	0.5
0.070656	0	0	1	0.155	0.155	2.15	0.5
0.070656	0	0	1	0.156	0.156	2.15	0.5
0.070656	0	0	1	0.157	0.157	2.15	0.5
0.070656	0	0	1	0.158	0.158	2.15	0.5
0.070656	0	0	1	0.159	0.159	2.15	0.5
0.070656	0	0	1	0.16	0.16	2.15	0.5
0.070656	0	0	1	0.161	0.161	2.15	0.5
0.070656	0	0	1	0.162	0.162	2.15	0.5
0.070656	0	0	1	0.163	0.163	2.15	0.5
0.070656	0	0	1	0.164	0.164	2.15	0.5
0.070655	0	0	1	0.165	0.165	2.15	0.5
0.070655	0	0	1	0.166	0.166	2.15	0.5
0.070655	0	0	1	0.167	0.167	2.15	0.5
0.070655	0	0	1	0.168	0.168	2.15	0.5
0.070655	0	0	1	0.169	0.169	2.15	0.5
0.070655	0	0	1	0.17	0.17	2.15	0.5
0.070655	0	0	1	0.171	0.171	2.15	0.5
0.070655	0	0	1	0.172	0.172	2.15	0.5
0.070654	0	0	1	0.173	0.173	2.15	0.5
0.070654	0	0	1	0.174	0.174	2.15	0.5
0.070654	0	0	1	0.175	0.175	2.15	0.5
0.070654	0	0	1	0.176	0.176	2.15	0.5
0.070654	0	0	1	0.177	0.177	2.15	0.5
0.070654	0	0	1	0.178	0.178	2.15	0.5
0.070654	0	0	1	0.179	0.179	2.15	0.5
0.070654	0	0	1	0.18	0.18	2.15	0.5
0.070654	0	0	1	0.181	0.181	2.15	0.5
0.070653	0	0	1	0.182	0.182	2.15	0.5
0.070653	0	0	1	0.183	0.183	2.15	0.5
0.070653	0	0	1	0.184	0.184	2.15	0.5
0.070653	0	0	1	0.185	0.185	2.15	0.5
0.070653	0	0	1	0.186	0.186	2.15	0.5
0.070653	0	0	1	0.187	0.187	2.15	0.5
0.070653	0	0	1	0.188	0.188	2.15	0.5
0.070653	0	0	1	0.189	0.189	2.15	0.5
0.070652	0	0	1	0.19	0.19	2.15	0.5
0.070652	0	0	1	0.191	0.191	2.15	0.5
0.070652	0	0	1	0.192	0.192	2.15	0.5
0.070652	0	0	1	0.193	0.193	2.15	0.5
0.070652	0	0	1	0.194	0.194	2.15	0.5
0.070652	0	0	1	0.195	0.195	2.15	0.5
0.070652	0	0	1	0.196	0.196	2.15	0.5
0.070652	0	0	1	0.197	0.197	2.15	0.5
0.070652	0	0	1	0.198	0.198	2.15	0.5
0.070651	0	0	1	0.199	0.199	2.15	0.5
0.070597	0	0	1	0.2	0.2	2.15	0.5
0.070511	0	0	1	0.201	0.201	2.15	0.5
0.070426	0	0	1	0.202	0.202	2.15	0.5
0.070302	0	0	1	0.203	0.203	2.15	0.5
0.070136	0	0	1	0.204	0.204	2.15	0.5
0.069971	0	0	1	0.205	0.205	2.15	0.5
0.069805	0	0	1	0.206	0.206	2.15	0.5
0.06964	0	0	1	0.207	0.207	2.15	0.5
0.069474	0	0	1	0.208	0.208	2.15	0.5
0.069308	0	0	1	0.209	0.209	2.15	0.5
0.069143	0	0	1	0.21	0.21	2.15	0.5
0.068977	0	0	1	0.211	0.211	2.15	0.5
0.068812	0	0	1	0.212	0.212	2.15	0.5
0.068646	0	0	1	0.213	0.213	2.15	0.5
0.06848	0	0	1	0.214	0.214	2.15	0.5
0.068315	0	0	1	0.215	0.215	2.15	0.5
0.068149	0	0	1	0.216	0.216	2.15	0.5
0.067984	0	0	1	0.217	0.217	2.15	0.5
0.067818	0	0	1	0.218	0.218	2.15	0.5
