"pressure"	"GlobalNodeId"	"PedigreeNodeId"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
0.072194	13604	13604	1	0	0.5	1.1	0
0.072193	13615	13615	1	0.001	0.5	1.1	0.001
0.072193	13626	13626	1	0.002	0.5	1.1	0.002
0.072192	13637	13637	1	0.003	0.5	1.1	0.003
0.072191	13647	13647	1	0.004	0.5	1.1	0.004
0.072191	13527	13527	1	0.005	0.5	1.1	0.005
0.07219	13271	13271	1	0.006	0.5	1.1	0.006
0.07219	13015	13015	1	0.007	0.5	1.1	0.007
0.072189	12791	12791	1	0.008	0.5	1.1	0.008
0.072188	12689	12689	1	0.009	0.5	1.1	0.009
0.072187	12587	12587	1	0.01	0.5	1.1	0.01
0.072187	12484	12484	1	0.011	0.5	1.1	0.011
0.072186	12382	12382	1	0.012	0.5	1.1	0.012
0.072185	12280	12280	1	0.013	0.5	1.1	0.013
0.072184	12177	12177	1	0.014	0.5	1.1	0.014
0.072183	12075	12075	1	0.015	0.5	1.1	0.015
0.072183	11972	11972	1	0.016	0.5	1.1	0.016
0.072182	11870	11870	1	0.017	0.5	1.1	0.017
0.072181	11768	11768	1	0.018	0.5	1.1	0.018
0.07218	11665	11665	1	0.019	0.5	1.1	0.019
0.072179	11563	11563	1	0.02	0.5	1.1	0.02
0.072179	11460	11460	1	0.021	0.5	1.1	0.021
0.072178	11358	11358	1	0.022	0.5	1.1	0.022
0.072177	11256	11256	1	0.023	0.5	1.1	0.023
0.072176	11153	11153	1	0.024	0.5	1.1	0.024
0.072175	11051	11051	1	0.025	0.5	1.1	0.025
0.072175	10948	10948	1	0.026	0.5	1.1	0.026
0.072174	10846	10846	1	0.027	0.5	1.1	0.027
0.072173	10744	10744	1	0.028	0.5	1.1	0.028
0.072172	10641	10641	1	0.029	0.5	1.1	0.029
0.072172	10539	10539	1	0.03	0.5	1.1	0.03
0.072171	10436	10436	1	0.031	0.5	1.1	0.031
0.07217	10395	10395	1	0.032	0.5	1.1	0.032
0.072168	10354	10354	1	0.033	0.5	1.1	0.033
0.072167	10314	10314	1	0.034	0.5	1.1	0.034
0.072166	10273	10273	1	0.035	0.5	1.1	0.035
0.072165	10232	10232	1	0.036	0.5	1.1	0.036
0.072164	10192	10192	1	0.037	0.5	1.1	0.037
0.072163	10151	10151	1	0.038	0.5	1.1	0.038
