time,integral1,integral2,integral3,integral4,integral5,integral6,integral7,integral8,volume1,volume2,volume3,volume4,volume5,volume6,volume7,volume8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.00026561193127715,0.00023796783493484,9.3983653482596e-06,4.9665240115827e-06,6.389008279351e-08,5.5155615393784e-08,8.814767850949e-08,5.9075967097383e-08,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.02,0.00071317543747237,0.00040541933124391,4.0828442216991e-05,2.2334452759194e-05,4.5442596769911e-07,3.9775859221535e-07,6.1946326189173e-07,4.2681103186156e-07,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.03,0.0012637720363889,0.00052509431495565,0.00010268669733474,5.7912820744307e-05,1.7384147850803e-06,1.5422293760209e-06,2.3408703401746e-06,1.6603518298868e-06,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.04,0.0018683320313603,0.00061761347415749,0.00019744778901048,0.00011441632373835,4.7617521972767e-06,4.2795626025141e-06,6.3318912621466e-06,4.6275265265379e-06,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.05,0.0024967936262211,0.00069387776889163,0.00032335393854383,0.00019199276694837,1.0489761773821e-05,9.5454555988168e-06,1.3769956866124e-05,1.03739193985e-05,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.06,0.0031299742053113,0.00075964875307341,0.00047652823372989,0.0002892607209326,1.9791203348205e-05,1.8223493243124e-05,2.5638793529554e-05,1.9912485540136e-05,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.07,0.0037549689229746,0.00081815346161813,0.00065241164476453,0.00040413069693257,3.3257678688978e-05,3.0965902002928e-05,4.250587898279e-05,3.4021252574241e-05,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.08,0.0043627236061229,0.00087130999315063,0.00084650543495507,0.00053428817787185,5.1111646117907e-05,4.8087036588103e-05,6.4433309825354e-05,5.3111650728824e-05,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.09,0.0049468184257943,0.00092032185087384,0.00105467774126,0.00067743117726985,7.3207845769259e-05,6.9542830221048e-05,9.1017130443366e-05,7.7188515226174e-05,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.1,0.0055028473905946,0.00096598240946866,0.0012732531955278,0.00083137097090352,9.9101671795641e-05,9.4978476323942e-05,0.00012150952330257,0.00010588887340692,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.11,0.006028045986094,0.0010088388992975,0.0014990124575088,0.00099406807150991,0.00012814895235639,0.00012381421457601,0.00015497042034517,0.00013857009362234,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.12,0.00652100278773,0.0010492846976761,0.001729161919968,0.0011636416187631,0.00015960745239248,0.00015534103350535,0.00019040762935897,0.00017441664908468,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.13,0.0069813961554523,0.0010876133723614,0.0019612976398546,0.001338369557606,0.00019272189977154,0.00018880682585772,0.00022688338210218,0.00021254198600743,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.14,0.0074097461520686,0.0011240514960508,0.0021933709659331,0.0015166863572754,0.00022678514110134,0.00022348312642627,0.00026358136146623,0.00025207170391712,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.15,0.0078071884007382,0.0011587792399348,0.0024236569316227,0.0016971802617918,0.00026117550645146,0.00025871000661345,0.00029983846248827,0.00029220277045887,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.16,0.0081752780164334,0.0011919436901008,0.0026507246510136,0.0018785902212422,0.00029537440766681,0.00029392123731211,0.00033515008713396,0.00033223936401964,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.17,0.0085158279855964,0.001223667694502,0.0028734088724567,0.0020598021269403,0.00032896950425523,0.00032865389699588,0.00036915840834516,0.0003716091497415,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.18,0.0088307821247714,0.0012540558872205,0.0030907822470102,0.0022398439766619,0.00036164851957872,0.0003625470079378,0.00040163159769019,0.00040986497081881,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.19,0.0091221196949573,0.0012831988849748,0.0033021282699663,0.0024178797701375,0.00039318783130249,0.00039533328376519,0.00043243984658083,0.00044667682710105,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
0.2,0.0093917871176698,0.0013111762734102,0.0035069151108916,0.0025932021273467,0.00042343883329287,0.00042682720608823,0.00046153191317721,0.00048181824586309,0.015723796944089,0.00225,0.0099000031314788,0.0099000000000001,0.0012,0.0012,0.0012,0.0012
