0.25000D-02,0.37499D-01,0.87651D-07,0.80449D-06,0.80630D-09,0.56970D-06,0.10946D-09,0.12113D-08,0.00000D+00,0.00000D+00,0.21685D-18,0.76329D-16,0.21685D-18,0.13011D-17,0.11861D-15,0.13499D-11,0.16290D-14,0.30992D-13,0.13895D-14,0.27683D-13,0.31227D-16,0.14242D-14,0.86739D-17
0.50000D-02,0.74989D-01,0.67832D-06,0.59142D-05,0.74202D-08,0.42223D-05,0.10178D-08,0.10892D-07,0.00000D+00,0.00000D+00,0.16480D-16,0.13789D-14,0.17347D-16,0.26672D-16,0.21454D-14,0.19677D-10,0.27050D-13,0.50000D-12,0.23974D-13,0.43907D-12,0.61065D-15,0.24838D-13,0.23940D-15
0.75000D-02,0.11246D+00,0.28977D-05,0.24020D-04,0.37377D-07,0.17285D-04,0.51837D-08,0.53694D-07,0.43368D-24,0.86736D-24,0.19559D-15,0.12674D-13,0.20253D-15,0.28082D-15,0.19860D-13,0.15124D-09,0.23564D-12,0.42415D-11,0.21654D-12,0.36656D-11,0.57092D-14,0.22627D-12,0.24460D-14
0.10000D-01,0.14987D+00,0.90366D-05,0.71280D-04,0.13637D-06,0.51692D-04,0.19134D-07,0.19198D-06,0.11493D-16,0.19516D-17,0.14225D-14,0.81102D-13,0.14665D-14,0.19310D-14,0.12804D-12,0.81504D-09,0.14342D-11,0.25164D-10,0.13651D-11,0.21427D-10,0.36910D-13,0.14382D-11,0.16935D-13
0.12500D-01,0.18718D+00,0.22985D-04,0.17270D-03,0.40290D-06,0.12618D-03,0.57216D-07,0.55655D-06,0.12729D-15,0.19082D-16,0.78902D-14,0.40665D-12,0.81413D-14,0.10287D-13,0.64661D-12,0.34564D-08,0.68452D-11,0.11719D-09,0.67414D-11,0.98415D-10,0.18649D-12,0.71582D-11,0.91073D-13
0.15000D-01,0.22432D+00,0.50566D-04,0.36226D-03,0.10226D-05,0.26661D-03,0.14705D-06,0.13877D-05,0.77889D-15,0.11167D-15,0.36242D-13,0.17014D-11,0.37424D-13,0.45537D-13,0.27237D-11,0.12277D-07,0.27276D-10,0.45597D-09,0.27768D-10,0.37806D-09,0.78531D-12,0.29700D-10,0.40670D-12
0.17500D-01,0.26121D+00,0.99712D-04,0.68188D-03,0.23118D-05,0.50540D-03,0.33675D-06,0.30852D-05,0.36596D-14,0.50915D-15,0.14393D-12,0.61775D-11,0.14865D-12,0.17451D-12,0.99514D-11,0.37971D-07,0.94348D-10,0.15413D-08,0.99191D-10,0.12628D-08,0.28669D-11,0.10683D-09,0.15697D-11
0.20000D-01,0.29775D+00,0.18047D-03,0.11795D-02,0.47687D-05,0.88017D-03,0.70389D-06,0.62651D-05,0.14892D-13,0.20025D-14,0.50782D-12,0.19987D-10,0.52445D-12,0.59471D-12,0.32386D-10,0.10499D-06,0.29090D-09,0.46473D-08,0.31557D-09,0.37656D-08,0.93188D-11,0.34209D-09,0.53802D-11
0.22500D-01,0.33383D+00,0.30486D-03,0.19063D-02,0.91298D-05,0.14320D-02,0.13659D-05,0.11820D-04,0.54302D-13,0.70591D-14,0.16232D-11,0.58735D-10,0.16759D-11,0.18375D-11,0.95694D-10,0.26450D-06,0.81495D-09,0.12739D-07,0.91141D-09,0.10217D-07,0.27492D-10,0.99409D-09,0.16698D-10
0.25000D-01,0.36935D+00,0.48654D-03,0.29147D-02,0.16428D-04,0.22035D-02,0.24918D-05,0.20977D-04,0.18069D-12,0.22722D-13,0.47689D-11,0.15905D-09,0.49214D-11,0.52223D-11,0.26044D-09,0.61581D-06,0.21043D-08,0.32207D-07,0.24243D-08,0.25586D-07,0.74685D-10,0.26596D-08,0.47618D-10
