0.50000D+02,0.26589D-02,0.58689D-01,0.29306D-01,0.82260D-01,0.44473D-01,0.16061D-01,0.10343D-01,0.15531D-01,0.32837D-01,0.18424D-02,0.46272D-02,0.21629D-02,0.36149D-03,0.20412D-01,0.11078D-02,0.11234D-02,0.53815D-02,0.13786D-02,0.24854D-01,0.10680D-02,0.77759D-03,0.20934D-03,0.23261D-03,0.34839D-03,0.55034D-02,0.43543D-03,0.13771D-01,0.76939D-01,0.83171D-03,0.23484D-04,0.26368D-04,0.67622D-03,0.12713D-02,0.83848D-03,0.51339D-02,0.89632D-02,0.36294D-02,0.66607D-04,0.22313D-03,0.69843D-02,0.21701D-01,0.16276D-01,0.97710D-02,0.84565D-02,0.12971D-02,0.60034D-03,0.13716D-02,0.68333D-03,0.24650D-08,0.36707D-03,0.77807D-03,0.17269D-01
0.10000D+03,0.10789D-01,0.14929D+00,0.99155D-01,0.24234D+00,0.15102D+00,0.64196D-01,0.44083D-01,0.66830D-01,0.11577D+00,0.11220D-01,0.24556D-01,0.12811D-01,0.17230D-02,0.74504D-01,0.56155D-02,0.48330D-02,0.21736D-01,0.74566D-02,0.84300D-01,0.59389D-02,0.45443D-02,0.13810D-02,0.15652D-02,0.22644D-02,0.27103D-01,0.27636D-02,0.62754D-01,0.23405D+00,0.51871D-02,0.18179D-03,0.23046D-03,0.45685D-02,0.74221D-02,0.52647D-02,0.24129D-01,0.41755D-01,0.19046D-01,0.51222D-03,0.15206D-02,0.29579D-01,0.91571D-01,0.72946D-01,0.45978D-01,0.38400D-01,0.58459D-02,0.24827D-02,0.50721D-02,0.36228D-02,0.37543D-07,0.17946D-02,0.38282D-02,0.67804D-01
0.15000D+03,0.25412D-01,0.24941D+00,0.19749D+00,0.42023D+00,0.29251D+00,0.14598D+00,0.10692D+00,0.15966D+00,0.23325D+00,0.36717D-01,0.70841D-01,0.41001D-01,0.49285D-02,0.15649D+00,0.16551D-01,0.12302D-01,0.50802D-01,0.22905D-01,0.16665D+00,0.18734D-01,0.14924D-01,0.50827D-02,0.58092D-02,0.81333D-02,0.74507D-01,0.95852D-02,0.15648D+00,0.41543D+00,0.17766D-01,0.79431D-03,0.10703D-02,0.16534D-01,0.23919D-01,0.18233D-01,0.64578D-01,0.10862D+00,0.55507D-01,0.21306D-02,0.56944D-02,0.72561D-01,0.21328D+00,0.17878D+00,0.11882D+00,0.98270D-01,0.15543D-01,0.57279D-02,0.10695D-01,0.11136D-01,0.29537D-06,0.51108D-02,0.10783D-01,0.14820D+00
0.20000D+03,0.46361D-01,0.35006D+00,0.30598D+00,0.57210D+00,0.43181D+00,0.25035D+00,0.19482D+00,0.28237D+00,0.35910D+00,0.85845D-01,0.14777D+00,0.94124D-01,0.11098D-01,0.25238D+00,0.37016D-01,0.24444D-01,0.90779D-01,0.52325D-01,0.25677D+00,0.43873D-01,0.36128D-01,0.13700D-01,0.15679D-01,0.21277D-01,0.15095D+00,0.24051D-01,0.28527D+00,0.57618D+00,0.44124D-01,0.25433D-02,0.35131D-02,0.42613D-01,0.56259D-01,0.45808D-01,0.12910D+00,0.20863D+00,0.11856D+00,0.63573D-02,0.15435D-01,0.13552D+00,0.36597D+00,0.32018D+00,0.22495D+00,0.18714D+00,0.32062D-01,0.98631D-02,0.17188D-01,0.25889D-01,0.15993D-05,0.11183D-01,0.23053D-01,0.24170D+00
0.25000D+03,0.73388D-01,0.44677D+00,0.41126D+00,0.68595D+00,0.54731D+00,0.36258D+00,0.29769D+00,0.41578D+00,0.47535D+00,0.16103D+00,0.25040D+00,0.17387D+00,0.21700D-01,0.35049D+00,0.69444D-01,0.42088D-01,0.13826D+00,0.98696D-01,0.34540D+00,0.84674D-01,0.71693D-01,0.30092D-01,0.34325D-01,0.45203D-01,0.25182D+00,0.48866D-01,0.42839D+00,0.70126D+00,0.88732D-01,0.65983D-02,0.91437D-02,0.87784D-01,0.10790D+00,0.93006D-01,0.21431D+00,0.33093D+00,0.20730D+00,0.15233D-01,0.33785D-01,0.21379D+00,0.52125D+00,0.47226D+00,0.35088D+00,0.29614D+00,0.56880D-01,0.14290D-01,0.23720D-01,0.50338D-01,0.66999D-05,0.20885D-01,0.41726D-01,0.33217D+00
0.30000D+03,0.10646D+00,0.53638D+00,0.50668D+00,0.76720D+00,0.63471D+00,0.47083D+00,0.40442D+00,0.54301D+00,0.57500D+00,0.25825D+00,0.36737D+00,0.27521D+00,0.38480D-01,0.44406D+00,0.11498D+00,0.66012D-01,0.18980D+00,0.16236D+00,0.42850D+00,0.14226D+00,0.12335D+00,0.56984D-01,0.64583D-01,0.82637D-01,0.36706D+00,0.85436D-01,0.56569D+00,0.79305D+00,0.15324D+00,0.14629D-01,0.20080D-01,0.15388D+00,0.17897D+00,0.16167D+00,0.31252D+00,0.46035D+00,0.31479D+00,0.31129D-01,0.63325D-01,0.30031D+00,0.65795D+00,0.61282D+00,0.48058D+00,0.41303D+00,0.91189D-01,0.18589D-01,0.29973D-01,0.86170D-01,0.23149D-04,0.35045D-01,0.67512D-01,0.41095D+00
0.35000D+03,0.14545D+00,0.61671D+00,0.59000D+00,0.82512D+00,0.69888D+00,0.56814D+00,0.50621D+00,0.65386D+00,0.65760D+00,0.36875D+00,0.48590D+00,0.38851D+00,0.63236D-01,0.52988D+00,0.17318D+00,0.96848D-01,0.24262D+00,0.24090D+00,0.50444D+00,0.21517D+00,0.19044D+00,0.96303D-01,0.10822D+00,0.13470D+00,0.48509D+00,0.13351D+00,0.68419D+00,0.85879D+00,0.23576D+00,0.28655D-01,0.38668D-01,0.23874D+00,0.26618D+00,0.24946D+00,0.41473D+00,0.58305D+00,0.43078D+00,0.56285D-01,0.10543D+00,0.38759D+00,0.76652D+00,0.72918D+00,0.60110D+00,0.52648D+00,0.13566D+00,0.22592D-01,0.36039D-01,0.13393D+00,0.68668D-04,0.54338D-01,0.10064D+00,0.47619D+00
0.40000D+03,0.18978D+00,0.68672D+00,0.66120D+00,0.86726D+00,0.74681D+00,0.65177D+00,0.59766D+00,0.74448D+00,0.72508D+00,0.48214D+00,0.59573D+00,0.50295D+00,0.97462D-01,0.60665D+00,0.24208D+00,0.13493D+00,0.29491D+00,0.32974D+00,0.57247D+00,0.29970D+00,0.27009D+00,0.14866D+00,0.16543D+00,0.20056D+00,0.59599D+00,0.19136D+00,0.77873D+00,0.90522D+00,0.33126D+00,0.50736D-01,0.67020D-01,0.33681D+00,0.36373D+00,0.35043D+00,0.51312D+00,0.68976D+00,0.54487D+00,0.92315D-01,0.15989D+00,0.46947D+00,0.84646D+00,0.81792D+00,0.70470D+00,0.62857D+00,0.19021D+00,0.26322D-01,0.42240D-01,0.19289D+00,0.17978D-03,0.79175D-01,0.14079D+00,0.52968D+00
0.45000D+03,0.23836D+00,0.74635D+00,0.72116D+00,0.89864D+00,0.78423D+00,0.72156D+00,0.67646D+00,0.81526D+00,0.77983D+00,0.58934D+00,0.69072D+00,0.60947D+00,0.14199D+00,0.67399D+00,0.31861D+00,0.18016D+00,0.34565D+00,0.42330D+00,0.63228D+00,0.39079D+00,0.35784D+00,0.21314D+00,0.23471D+00,0.27755D+00,0.69317D+00,0.25633D+00,0.84980D+00,0.93754D+00,0.43297D+00,0.82575D-01,0.10653D+00,0.44070D+00,0.46482D+00,0.45668D+00,0.60243D+00,0.77638D+00,0.64883D+00,0.13981D+00,0.22493D+00,0.54208D+00,0.90209D+00,0.88152D+00,0.78846D+00,0.71526D+00,0.25381D+00,0.29911D-01,0.49020D-01,0.26122D+00,0.42383D-03,0.10961D+00,0.18707D+00,0.57422D+00
0.50000D+03,0.28970D+00,0.79622D+00,0.77116D+00,0.92241D+00,0.81494D+00,0.77871D+00,0.74238D+00,0.86874D+00,0.82402D+00,0.68415D+00,0.76862D+00,0.70222D+00,0.19671D+00,0.73210D+00,0.39911D+00,0.23195D+00,0.39441D+00,0.51604D+00,0.68392D+00,0.48304D+00,0.44863D+00,0.28744D+00,0.31312D+00,0.36175D+00,0.77362D+00,0.32541D+00,0.90078D+00,0.95961D+00,0.53386D+00,0.12513D+00,0.15752D+00,0.54297D+00,0.56296D+00,0.56034D+00,0.67999D+00,0.84289D+00,0.73773D+00,0.19814D+00,0.29764D+00,0.60388D+00,0.93913D+00,0.92498D+00,0.85288D+00,0.78570D+00,0.32457D+00,0.33545D-01,0.56904D-01,0.33624D+00,0.91353D-03,0.14532D+00,0.23813D+00,0.61232D+00
