0.17443D+01,0.39143D+00
0.34886D+01,0.80600D+00
0.52328D+01,0.12206D+01
0.69771D+01,0.16351D+01
0.87214D+01,0.20497D+01
0.10466D+02,0.24643D+01
0.12210D+02,0.28789D+01
0.13954D+02,0.32934D+01
0.15698D+02,0.37080D+01
0.17443D+02,0.41226D+01
0.19187D+02,0.45348D+01
0.20931D+02,0.49489D+01
0.22676D+02,0.53630D+01
0.24420D+02,0.57771D+01
0.26164D+02,0.61912D+01
0.27908D+02,0.65909D+01
0.29653D+02,0.70083D+01
0.31397D+02,0.74257D+01
0.33141D+02,0.78431D+01
0.34886D+02,0.82721D+01
0.36630D+02,0.86885D+01
0.38374D+02,0.91048D+01
0.40118D+02,0.95212D+01
0.41863D+02,0.99376D+01
0.43607D+02,0.10354D+02
0.45351D+02,0.10755D+02
0.47095D+02,0.11160D+02
0.48840D+02,0.11579D+02
0.50584D+02,0.11999D+02
0.52328D+02,0.12418D+02
0.54073D+02,0.12833D+02
0.55817D+02,0.13229D+02
0.57561D+02,0.13809D+02
0.59305D+02,0.14226D+02
0.61050D+02,0.14643D+02
0.62794D+02,0.14946D+02
0.64538D+02,0.15387D+02
0.66283D+02,0.15827D+02
0.68027D+02,0.16268D+02
0.69771D+02,0.16708D+02
0.71515D+02,0.17149D+02
0.73260D+02,0.17589D+02
0.75004D+02,0.18030D+02
0.76748D+02,0.18470D+02
0.78492D+02,0.18911D+02
0.80237D+02,0.19373D+02
0.81981D+02,0.19820D+02
0.83725D+02,0.20268D+02
0.85470D+02,0.20716D+02
0.87214D+02,0.21163D+02
0.88958D+02,0.21611D+02
0.90702D+02,0.22021D+02
0.92447D+02,0.22482D+02
0.94191D+02,0.22943D+02
0.95935D+02,0.23404D+02
0.97679D+02,0.23864D+02
0.99424D+02,0.24325D+02
0.10117D+03,0.24812D+02
0.10291D+03,0.25278D+02
0.10466D+03,0.25744D+02
0.10640D+03,0.26210D+02
0.10815D+03,0.26675D+02
0.10989D+03,0.27048D+02
0.11163D+03,0.27520D+02
0.11338D+03,0.27993D+02
0.11512D+03,0.28465D+02
0.11687D+03,0.28937D+02
0.11861D+03,0.29410D+02
0.12036D+03,0.29903D+02
0.12210D+03,0.30371D+02
0.12384D+03,0.30839D+02
0.12559D+03,0.31306D+02
0.12733D+03,0.31784D+02
0.12908D+03,0.32259D+02
0.13082D+03,0.32848D+02
0.13257D+03,0.33348D+02
0.13431D+03,0.33848D+02
0.13605D+03,0.34030D+02
0.13780D+03,0.34547D+02
0.13954D+03,0.35065D+02
0.14129D+03,0.35582D+02
0.14303D+03,0.36099D+02
0.14477D+03,0.36616D+02
0.14652D+03,0.37134D+02
0.14826D+03,0.37651D+02
0.15001D+03,0.38168D+02
0.15175D+03,0.38686D+02
0.15350D+03,0.39203D+02
0.15524D+03,0.39720D+02
0.15698D+03,0.40400D+02
0.15873D+03,0.41238D+02
0.16047D+03,0.41176D+02
0.16222D+03,0.41728D+02
0.16396D+03,0.42279D+02
0.16571D+03,0.42831D+02
0.16745D+03,0.43382D+02
0.16919D+03,0.43934D+02
0.17094D+03,0.44485D+02
0.17268D+03,0.45037D+02
0.17443D+03,0.45588D+02
0.17617D+03,0.46140D+02
0.17792D+03,0.46691D+02
0.17966D+03,0.47227D+02
0.18140D+03,0.47776D+02
0.18315D+03,0.48326D+02
