time,flux_left,int3,intFrac
0,0,0,0
10000000,2.6080424770305e-12,4.2885798925885e-05,0.00011135272004618
20000000,2.4393686611736e-11,0.0004238946534585,0.00036779715364596
30000000,1.1932485221443e-10,0.0021951972471065,0.00072690824660247
40000000,4.0718670989207e-10,0.0079433089489659,0.0011294829244323
50000000,1.090930231344e-09,0.022598330385555,0.0015295459357405
60000000,2.4487244392019e-09,0.053923911897203,0.0018991569882864
70000000,4.7984823127463e-09,0.11242552440184,0.0022247099658471
80000000,8.4459746463614e-09,0.21063961642196,0.0025022727104027
90000000,1.3634013368052e-08,0.36198838830408,0.0027337870278593
100000000,2.0507532194219e-08,0.57949876765609,0.0029242817029267
110000000,2.9101293180666e-08,0.87466865732676,0.0030799753579265
120000000,3.9348555950096e-08,1.256663142629,0.0032071068861718
130000000,5.1103784477568e-08,1.7319014470568,0.0033113121076208
140000000,6.4171100662535e-08,2.3039986242986,0.0033973694472231
150000000,7.8331659645053e-08,2.9739726704959,0.0034691668030375
160000000,9.3365798861693e-08,3.7406142443211,0.0035297824274648
170000000,1.0906840895013e-07,4.6009285865172,0.0035816111253924
180000000,1.2525782710631e-07,5.5505830077255,0.0036264967852437
190000000,1.417795361746e-07,6.5843180822169,0.0036658522295147
200000000,1.5850624155117e-07,7.6963010412523,0.0037007593470321
210000000,1.753357615246e-07,8.880414193086,0.0037320488597666
220000000,1.9218784169911e-07,10.130480040473,0.0037603619878939
230000000,2.090006492514e-07,11.440429477756,0.0037861972309806
240000000,2.2572740032552e-07,12.804421427607,0.0038099454594225
250000000,2.4233335161552e-07,14.21692263093,0.0038319160793582
260000000,2.5879324186983e-07,15.672755788082,0.0038523564972264
270000000,2.7508918433568e-07,17.167123329374,0.0038714666057167
280000000,2.9120896839888e-07,18.695613030447,0.0038894095911737
290000000,3.0714471201798e-07,20.25419062345,0.0039063200304058
300000000,3.2289180448044e-07,21.839183559529,0.0039223099915469
310000000,3.3844808404211e-07,23.447259186289,0.0039374736637287
320000000,3.5381320275334e-07,25.075399830745,0.003951890899338
330000000,3.689881389035e-07,26.720876627033,0.0039656299486899
340000000,3.839748249649e-07,28.381223394935,0.0039787495908619
350000000,3.9877586531326e-07,30.054211451051,0.003991300809183
360000000,4.1339432331075e-07,31.737825906975,0.004003328120059
370000000,4.2783356166377e-07,33.430243764121,0.0040148706353117
380000000,4.420971234583e-07,35.129813938423,0.0040259629178136
390000000,4.5618864407349e-07,36.835039226321,0.0040366356755429
400000000,4.7011178640398e-07,38.544560143617,0.0040469163285145
410000000,4.8387019358731e-07,40.257140520451,0.0040568294751377
420000000,4.9746745482125e-07,41.971654709779,0.0040663972785917
430000000,5.1090708093812e-07,43.687076256622,0.0040756397892269
440000000,5.2419248723862e-07,45.402467875488,0.0040845752154669
450000000,5.3732698172654e-07,47.116972589948,0.0040932201529298
460000000,5.503137573683e-07,48.829805898651,0.0041015897793691
470000000,5.6315588736266e-07,50.540248844069,0.0041096980214031
480000000,5.7585632267312e-07,52.247641872844,0.0041175576977607
490000000,5.8841789127129e-07,53.951379388937,0.0041251806428313
500000000,6.0084329868202e-07,55.650904912409,0.0041325778135907
510000000,6.1313512952326e-07,57.345706767381,0.0041397593824268
520000000,6.25295849808e-07,59.035314232391,0.0041467348179586
530000000,6.3732780982827e-07,60.71929409503,0.0041535129556019
540000000,6.4923324748002e-07,62.397247560379,0.0041601020593562
550000000,6.6101429191626e-07,64.068807469533,0.0041665098760549
560000000,6.7267296743693e-07,65.733635790353,0.0041727436831313
570000000,6.8421119754067e-07,67.391421347743,0.0041788103307853
580000000,6.9563080907722e-07,69.041877765166,0.0041847162793058
590000000,7.0693353644933e-07,70.684741592967,0.0041904676321844
600000000,7.1812102582275e-07,72.319770602377,0.0041960701655664
610000000,7.2919483931035e-07,73.946742226892,0.0042015293545024
620000000,7.4015645910275e-07,75.565452135175,0.0042068503964021
630000000,7.5100729152409e-07,77.175712921696,0.0042120382320366
640000000,7.617486709958e-07,78.777352903093,0.0042170975643869
650000000,7.7238186389578e-07,80.370215009768,0.0042220328756022
660000000,7.8290807230364e-07,81.954155763521,0.0042268484422929
670000000,7.9332843762583e-07,83.529044333118,0.004231548349356
680000000,8.0364404409646e-07,85.094761660664,0.0042361365025049
690000000,8.138559221521e-07,86.651199652424,0.0042406166396513
700000000,8.2396505168006e-07,88.198260428489,0.0042449923412685
710000000,8.3397236514099e-07,89.735855626237,0.0042492670398479
720000000,8.4387875056776e-07,91.263905753102,0.004253444028545
730000000,8.5368505444301e-07,92.782339584609,0.0042575264690992
740000000,8.6339208445862e-07,94.291093604036,0.0042615173991011
750000000,8.730006121604e-07,95.790111480418,0.0042654197386725
760000000,8.8251137548168e-07,97.279343581927,0.004269236296615
770000000,8.9192508116957e-07,98.758746521929,0.00427296977608
780000000,9.0124240710766e-07,100.22828273528,0.0042766227798049
790000000,9.1046400453874e-07,101.68792008263,0.0042801978149572
800000000,9.1959050019136e-07,103.13763148069,0.0042836972976236
810000000,9.2862249831348e-07,104.57739455664,0.0042871235569797
820000000,9.3756058261672e-07,106.00719132499,0.0042904788391679
830000000,9.4640531813419e-07,107.42700788528,0.0042937653109157
840000000,9.5515725299499e-07,108.83683413925,0.0042969850629154
850000000,9.638169201181e-07,110.23666352619,0.004300140112991
860000000,9.7238483882828e-07,111.62649277521,0.0043032324090711
870000000,9.8086151639653e-07,113.00632167337,0.0043062638319858
880000000,9.8924744950733e-07,114.37615284861,0.0043092361981042
890000000,9.9754312565477e-07,115.7359915666,0.0043121512618273
900000000,1.0057490244697e-06,117.08584554052,0.0043150107179462
910000000,1.01386561898e-06,118.42572475313,0.0043178162038806
920000000,1.0218933768049e-06,119.75564129018,0.0043205693018037
930000000,1.0298327612865e-06,121.07560918463,0.0043232715406643
940000000,1.0376842325586e-06,122.38564427096,0.0043259243981128
950000000,1.0454482485553e-06,123.68576404892,0.004328529302339
960000000,1.0531252659609e-06,124.97598755625,0.0043310876338259
970000000,1.060715741101e-06,126.25633524974,0.0043336007270272
