"pressure"	"GlobalNodeId"	"PedigreeNodeId"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
0.042321	41342	41342	1	0.108	0.108	2.15	0.5
0.042379	41323	41323	1	0.109	0.109	2.15	0.5
0.042437	41304	41304	1	0.11	0.11	2.15	0.5
0.042494	41285	41285	1	0.111	0.111	2.15	0.5
0.042552	41266	41266	1	0.112	0.112	2.15	0.5
0.042609	41247	41247	1	0.113	0.113	2.15	0.5
0.042669	41228	41228	1	0.114	0.114	2.15	0.5
0.042738	41209	41209	1	0.115	0.115	2.15	0.5
0.042808	41190	41190	1	0.116	0.116	2.15	0.5
0.042877	41171	41171	1	0.117	0.117	2.15	0.5
0.042946	41152	41152	1	0.118	0.118	2.15	0.5
0.043015	41133	41133	1	0.119	0.119	2.15	0.5
0.043085	41114	41114	1	0.12	0.12	2.15	0.5
0.043154	41095	41095	1	0.121	0.121	2.15	0.5
0.043223	41076	41076	1	0.122	0.122	2.15	0.5
0.043293	41057	41057	1	0.123	0.123	2.15	0.5
0.043362	41038	41038	1	0.124	0.124	2.15	0.5
0.043431	41019	41019	1	0.125	0.125	2.15	0.5
0.043501	41000	41000	1	0.126	0.126	2.15	0.5
0.04357	40981	40981	1	0.127	0.127	2.15	0.5
0.04364	40962	40962	1	0.128	0.128	2.15	0.5
0.043712	40943	40943	1	0.129	0.129	2.15	0.5
0.043783	40923	40923	1	0.13	0.13	2.15	0.5
0.043854	40904	40904	1	0.131	0.131	2.15	0.5
0.043925	41555	41555	1	0.132	0.132	2.15	0.5
0.043997	42225	42225	1	0.133	0.133	2.15	0.5
0.044068	42895	42895	1	0.134	0.134	2.15	0.5
0.044146	43634	43634	1	0.135	0.135	2.15	0.5
0.044231	44459	44459	1	0.136	0.136	2.15	0.5
0.044317	45283	45283	1	0.137	0.137	2.15	0.5
0.044402	46107	46107	1	0.138	0.138	2.15	0.5
0.044487	46932	46932	1	0.139	0.139	2.15	0.5
0.044573	47756	47756	1	0.14	0.14	2.15	0.5
0.044658	48581	48581	1	0.141	0.141	2.15	0.5
0.044736	49152	49152	1	0.142	0.142	2.15	0.5
0.044809	49490	49490	1	0.143	0.143	2.15	0.5
0.044881	49828	49828	1	0.144	0.144	2.15	0.5
0.044953	50167	50167	1	0.145	0.145	2.15	0.5
0.045025	50533	50533	1	0.146	0.146	2.15	0.5
0.045101	51329	51329	1	0.147	0.147	2.15	0.5
0.045177	52125	52125	1	0.148	0.148	2.15	0.5
0.045253	52921	52921	1	0.149	0.149	2.15	0.5
0.045329	53717	53717	1	0.15	0.15	2.15	0.5
0.045405	54513	54513	1	0.151	0.151	2.15	0.5
0.045482	55309	55309	1	0.152	0.152	2.15	0.5
0.045558	56105	56105	1	0.153	0.153	2.15	0.5
0.045634	56901	56901	1	0.154	0.154	2.15	0.5
0.045712	56757	56757	1	0.155	0.155	2.15	0.5
0.045794	55023	55023	1	0.156	0.156	2.15	0.5
0.045876	53290	53290	1	0.157	0.157	2.15	0.5
0.045958	51557	51557	1	0.158	0.158	2.15	0.5
0.04604	49823	49823	1	0.159	0.159	2.15	0.5
0.046122	48090	48090	1	0.16	0.16	2.15	0.5
0.046204	46356	46356	1	0.161	0.161	2.15	0.5
0.046286	44623	44623	1	0.162	0.162	2.15	0.5
0.046368	42890	42890	1	0.163	0.163	2.15	0.5
0.04645	41156	41156	1	0.164	0.164	2.15	0.5
0.046532	39423	39423	1	0.165	0.165	2.15	0.5
0.046614	37689	37689	1	0.166	0.166	2.15	0.5
0.046696	35956	35956	1	0.167	0.167	2.15	0.5
0.046778	34223	34223	1	0.168	0.168	2.15	0.5
0.04686	32489	32489	1	0.169	0.169	2.15	0.5
0.046942	30756	30756	1	0.17	0.17	2.15	0.5
0.047024	29022	29022	1	0.171	0.171	2.15	0.5
0.047094	27450	27450	1	0.172	0.172	2.15	0.5
0.047162	25904	25904	1	0.173	0.173	2.15	0.5
0.04723	24358	24358	1	0.174	0.174	2.15	0.5
0.047297	22730	22730	1	0.175	0.175	2.15	0.5
0.047297	22731	22731	1	0.176	0.176	2.15	0.5
0.047297	22731	22731	1	0.177	0.177	2.15	0.5
0.047297	22732	22732	1	0.178	0.178	2.15	0.5
0.047297	22732	22732	1	0.179	0.179	2.15	0.5
0.047297	22733	22733	1	0.18	0.18	2.15	0.5
0.047297	22733	22733	1	0.181	0.181	2.15	0.5
0.047297	22734	22734	1	0.182	0.182	2.15	0.5
0.047297	22734	22734	1	0.183	0.183	2.15	0.5
0.047297	22711	22711	1	0.184	0.184	2.15	0.5
0.047297	22624	22624	1	0.185	0.185	2.15	0.5
0.047296	27749	27749	1	0.186	0.186	2.15	0.5
0.047294	30870	30870	1	0.187	0.187	2.15	0.5
0.047292	33991	33991	1	0.188	0.188	2.15	0.5
0.047289	37113	37113	1	0.189	0.189	2.15	0.5
0.047287	40234	40234	1	0.19	0.19	2.15	0.5
0.047284	43355	43355	1	0.191	0.191	2.15	0.5
0.047282	46476	46476	1	0.192	0.192	2.15	0.5
0.047279	49598	49598	1	0.193	0.193	2.15	0.5
0.047277	52719	52719	1	0.194	0.194	2.15	0.5
0.047275	55840	55840	1	0.195	0.195	2.15	0.5
0.047272	58962	58962	1	0.196	0.196	2.15	0.5
0.04727	62083	62083	1	0.197	0.197	2.15	0.5
0.047267	65204	65204	1	0.198	0.198	2.15	0.5
0.047265	68325	68325	1	0.199	0.199	2.15	0.5
0.047264	69396	69396	1	0.2	0.2	2.15	0.5
0.047265	67057	67057	1	0.201	0.201	2.15	0.5
0.047266	64319	64319	1	0.202	0.202	2.15	0.5
0.047269	61332	61332	1	0.203	0.203	2.15	0.5
0.047271	58344	58344	1	0.204	0.204	2.15	0.5
0.047273	55357	55357	1	0.205	0.205	2.15	0.5
0.047276	52369	52369	1	0.206	0.206	2.15	0.5
0.047278	49381	49381	1	0.207	0.207	2.15	0.5
0.047281	46394	46394	1	0.208	0.208	2.15	0.5
0.047283	43406	43406	1	0.209	0.209	2.15	0.5
0.047285	40419	40419	1	0.21	0.21	2.15	0.5
0.047288	37431	37431	1	0.211	0.211	2.15	0.5
0.04729	34443	34443	1	0.212	0.212	2.15	0.5
0.047292	31456	31456	1	0.213	0.213	2.15	0.5
0.047295	28468	28468	1	0.214	0.214	2.15	0.5
