time,integral1,integral2,integral3,integral4,integral5,integral6,integral7,integral8,volume1,volume2,volume3,volume4,volume5,volume6,volume7,volume8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.00022841430089426,0.00019134728584478,1.2391673707439e-05,4.7493087754579e-06,1.2579194676871e-08,1.5155902677878e-08,1.3941417293192e-08,1.0351745622689e-08,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.02,0.00064346794590732,0.00034382989507799,5.9991858869322e-05,2.3478776204514e-05,1.1743640951212e-07,1.4209560736615e-07,1.3047636469523e-07,9.753603079052e-08,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.03,0.0011737043780734,0.00045360846464919,0.00016319747932833,6.5122538832882e-05,5.7214733129495e-07,6.9468168980862e-07,6.371770479565e-07,4.797079428104e-07,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.04,0.0017691952800022,0.00053605297410945,0.00033201677043567,0.00013498392991974,1.9401003812185e-06,2.3613253594204e-06,2.1648302968166e-06,1.6426183145043e-06,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.05,0.0023996904613447,0.00060177101491121,0.00056626879783411,0.00023459818972787,5.1528278266849e-06,6.2791052779311e-06,5.756916175548e-06,4.4072681006355e-06,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.06,0.0030469149253914,0.00065682101740039,0.00085922044778379,0.00036312594882318,1.1438249668998e-05,1.3935668332707e-05,1.2782634972434e-05,9.8876117822851e-06,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.07,0.0036983556458808,0.0007046718712741,0.0012008352069398,0.00051862425359592,2.2113736723119e-05,2.6896212518301e-05,2.4688465123493e-05,1.9329551089908e-05,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.08,0.004343780018382,0.00074739872018175,0.0015797105026091,0.00069868161231223,3.8313636719573e-05,4.6447448460904e-05,4.2668657120347e-05,3.388246331454e-05,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
0.09,0.004974062904624,0.00078630687131794,0.0019841542308471,0.00090059214231003,6.0749150119629e-05,7.3290851655767e-05,6.7374074397138e-05,5.4382610916395e-05,0.01575,0.002245,0.01108928725382,0.0112248,0.0012135620189356,0.0012135620189356,0.00119,0.00119
